Name,Language,Created At,Updated At,Total Commits,Merge Commits,Stars,Forks,Watchers,Open Issues,Default Branch,Last Push,URL
AI_Schema_Selector,Python,2025-02-22T08:55:10Z,2025-08-25T15:47:40Z,6,0,3,0,3,0,main,2025-08-25T15:47:06Z,https://github.com/muhammadnavas/AI_Schema_Selector
Catch_The_Ball,Python,2024-10-16T16:10:32Z,2025-08-24T05:15:36Z,10,3,3,0,3,0,main,2025-03-06T14:07:55Z,https://github.com/muhammadnavas/Catch_The_Ball
EcoFinds,JavaScript,2025-09-06T02:54:57Z,2025-09-07T17:01:07Z,23,6,1,0,1,0,main,2025-09-06T12:34:07Z,https://github.com/muhammadnavas/EcoFinds
Face_Recognition_Attendance_System,HTML,2024-10-09T17:47:15Z,2025-08-24T05:15:40Z,12,0,3,0,3,0,master,2024-12-02T16:51:33Z,https://github.com/muhammadnavas/Face_Recognition_Attendance_System
Fake_News_Predictor,Python,2025-05-14T07:51:46Z,2025-08-24T05:15:30Z,40,0,3,0,3,0,main,2025-08-21T17:14:09Z,https://github.com/muhammadnavas/Fake_News_Predictor
MazeScape,HTML,2025-08-09T06:32:34Z,2025-09-01T15:27:09Z,10,0,3,0,3,0,main,2025-09-01T15:27:06Z,https://github.com/muhammadnavas/MazeScape
muhammadnavas,,2025-08-19T13:51:31Z,2025-08-30T09:10:03Z,11,0,3,0,3,0,main,2025-08-30T09:10:00Z,https://github.com/muhammadnavas/muhammadnavas
my_portfolio,HTML,2025-08-23T17:01:37Z,2025-09-10T17:37:16Z,18,0,2,0,2,0,main,2025-09-09T07:36:17Z,https://github.com/muhammadnavas/my_portfolio
PetRakshak,JavaScript,2025-05-31T04:36:43Z,2025-08-24T05:15:32Z,2,0,3,0,3,0,main,2025-05-31T05:00:50Z,https://github.com/muhammadnavas/PetRakshak
Tableau_Project,Python,2025-09-12T10:28:17Z,2025-09-13T05:58:27Z,3,1,1,0,1,0,main,2025-09-13T06:05:42Z,https://github.com/muhammadnavas/Tableau_Project
TrackBot,Python,2025-03-01T07:13:13Z,2025-08-24T05:15:38Z,3,0,3,0,3,0,main,2025-03-02T04:07:00Z,https://github.com/muhammadnavas/TrackBot
